title,link,category,publication_time,author,image_url,summary
Integrasi Data dengan Dukcapil Percepat Proses Layanan BRI,https://fajar.co.id/2025/09/15/integrasi-data-dengan-dukcapil-percepat-proses-layanan-bri/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/bri-2-3-250x190.webp,Tidak ada ringkasan
"PBNU Terseret Kasus Dugaan Korupsi Kuota Haji 2024, Sekjen Gus Ipul Tegaskan Ini",https://fajar.co.id/2025/09/15/pbnu-terseret-kasus-dugaan-korupsi-kuota-haji-2024-sekjen-gus-ipul-tegaskan-ini/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/gus-ipul-250x190.webp,Tidak ada ringkasan
"Proses SPMB Minta Ditinjau Ulang, Tamsil Linrung Pertanyakan Indikator Sekolah Unggulan",https://fajar.co.id/2025/09/15/proses-spmb-minta-ditinjau-ulang-tamsil-linrung-pertanyakan-indikator-sekolah-unggulan/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/tamsil-linrung-250x190.webp,Tidak ada ringkasan
"Bank hanya Sanggup Serap Rp7 Triliun dari Rp200 Triliun Bantuan Likuiditas, Menkeu: Biar Mereka Mikir",https://fajar.co.id/2025/09/15/bank-hanya-sanggup-serap-rp7-triliun-dari-rp200-triliun-bantuan-likuiditas-menkeu-biar-mereka-mikir/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/purbaya-250x190.webp,Tidak ada ringkasan
"Hadapi Persija Jakarta, Chemistry Lini Tengah PSM Harus Segera Padu",https://fajar.co.id/2025/09/15/hadapi-persija-jakarta-chemistry-lini-tengah-psm-harus-segera-padu/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/savio-roberto-250x190.webp,Tidak ada ringkasan
"Kecewa Pernyataan Merendahkan PPPK, Nur Baitih Desak Kepala BKN Minta Maaf",https://fajar.co.id/2025/09/15/kecewa-pernyataan-merendahkan-pppk-nur-baitih-desak-kepala-bkn-minta-maaf/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/nur-baitih-250x190.webp,Tidak ada ringkasan
"Tak Mau Terlena, Marc Marquez Tetap Tenang untuk Kunci Gelar Juara Dunia MotoGP 2025",https://fajar.co.id/2025/09/15/tak-mau-terlena-marc-marquez-tetap-tenang-untuk-kunci-gelar-juara-dunia-motogp-2025/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/Marc-Marquez-250x190.webp,Tidak ada ringkasan
"Ustaz Khalid Basalamah Kembalikan Uang kepada KPK, Berapa Jumlahnya?",https://fajar.co.id/2025/09/15/ustaz-khalid-basalamah-kembalikan-uang-kepada-kpk-berapa-jumlahnya/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/khalid-basalamah-250x190.webp,Tidak ada ringkasan
Tokoh Pemuda Makassar Nilai Andi Seto Asapa Layak Isi Kursi Menpora,https://fajar.co.id/2025/09/15/tokoh-pemuda-makassar-nilai-andi-seto-asapa-layak-isi-kursi-menpora/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2024/11/andi-seto-prabowo-250x190.webp,Tidak ada ringkasan
"KPU Tetapkan 16 Dokumen Capres-Cawapres Bukan Informasi Publik, Efek Jokowi?",https://fajar.co.id/2025/09/15/kpu-tetapkan-16-dokumen-capres-cawapres-bukan-informasi-publik-efek-jokowi/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/afifuddin-250x190.webp,Tidak ada ringkasan
"Lewat Kopdes Merah Putih, Airlangga Hartarto Sebut Serap 1 Juta Lapangan Kerja",https://fajar.co.id/2025/09/15/lewat-kopdes-merah-putih-airlangga-hartarto-sebut-serap-1-juta-lapangan-kerja/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/airlangga-250x190.webp,Tidak ada ringkasan
"Mahasiswa Tuntut Dicopot, Rektor UNM: Kita Hargai Proses Hukum yang Berjalan",https://fajar.co.id/2025/09/15/mahasiswa-tuntut-dicopot-rektor-unm-kita-hargai-proses-hukum-yang-berjalan/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/08/prof-karta-jayadi-250x190.webp,Tidak ada ringkasan
"Bukan hanya Siswa, Guru Juga Bakal Jadi Sasaran Program MBG",https://fajar.co.id/2025/09/15/bukan-hanya-siswa-guru-juga-bakal-jadi-sasaran-program-mbg/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/menu-mbg-250x190.webp,Tidak ada ringkasan
"DMC Dompet Dhuafa Terus Respons Banjir Bali, Hadirkan Psychological First Aid hingga Distribusi Bantuan bagi Penyintas",https://fajar.co.id/2025/09/15/dmc-dompet-dhuafa-terus-respons-banjir-bali-hadirkan-psychological-first-aid-hingga-distribusi-bantuan-bagi-penyintas/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/dompet-duafa-2-250x190.jpeg,Tidak ada ringkasan
"Reformasi Kepolisian, PBHI Khawatir Sekadar Jadi Gimmick",https://fajar.co.id/2025/09/15/reformasi-kepolisian-pbhi-khawatir-sekadar-jadi-gimmick/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/julius-ibrani-250x190.webp,Tidak ada ringkasan
"Lisa Mariana 1.000 Persen Yakin Putrinya Anak Ridwan Kamil, Akankah Polri akan Setujui Tes DNA di Singapura?",https://fajar.co.id/2025/09/15/lisa-mariana-1-000-persen-yakin-putrinya-anak-ridwan-kamil-akankah-polri-akan-setujui-tes-dna-di-singapura/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/08/lisa-mariana-250x190.webp,Tidak ada ringkasan
"PSM Makassar Berambisi Raih Kemenangan Perdana, Bisakah Persija Pertahankan Rekor Tak Terkalahkan?",https://fajar.co.id/2025/09/15/psm-makassar-berambisi-raih-kemenangan-perdana-bisakah-persija-pertahankan-rekor-tak-terkalahkan/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/persija-jakarta-250x190.webp,Tidak ada ringkasan
"Mentan Amran Yakinkan DPD RI, Indonesia Tatap Swasembada Pangan",https://fajar.co.id/2025/09/15/mentan-amran-yakinkan-dpd-ri-indonesia-tatap-swasembada-pangan/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/IMG-20250915-WA0330-250x190.jpg,Tidak ada ringkasan
"Buntut Chat Ayo Goyang Yuk, Mahasiswa UNM Tuntut Rektor Dicopot",https://fajar.co.id/2025/09/15/buntut-chat-ayo-goyang-yuk-mahasiswa-unm-tuntut-rektor-dicopot/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/mahasiswa-unm-250x190.webp,Tidak ada ringkasan
Dokter Tifa Ungkit Korban Kanjuruhan hingga KM 50. Singgung Jokowi?,https://fajar.co.id/2025/09/15/dokter-tifa-ungkit-korban-kanjuruhan-hingga-km-50-singgung-jokowi/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/05/IMG-20250524-WA0011-250x190.jpg,Tidak ada ringkasan
"Sidang Gugatan Rp125 Triliun, Gibran Pasang Tameng Tunjuk Tiga Pengacara Top",https://fajar.co.id/2025/09/15/sidang-gugatan-rp125-triliun-gibran-pasang-tameng-tunjuk-tiga-pengacara-top/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/07/IMG_0988-250x190.jpeg,Tidak ada ringkasan
"Putri Bos Jalan Tol Dipanggil Kejagung, Terkait Kasus Konsesi Cawang-Pluit",https://fajar.co.id/2025/09/15/putri-bos-jalan-tol-dipanggil-kejagung-terkait-kasus-konsesi-cawang-pluit/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/037602500_1587018952-hl_37373-250x190.webp,Tidak ada ringkasan
"Pilihan Berat untuk Megawati Hangestri, Berlaga di Final Four atau Kembali ke Liga 2 Voli Turki 2025/2026",https://fajar.co.id/2025/09/15/pilihan-berat-untuk-megawati-hangestri-berlaga-di-final-four-atau-kembali-ke-liga-2-voli-turki-2025-2026/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/09/download-2025-09-03T090115.209-250x190.jpg,Tidak ada ringkasan
"Kejar Pengisian DRH PPPK Paruh Waktu, Pemohon SKCK Membludak",https://fajar.co.id/2025/09/15/kejar-pengisian-drh-pppk-paruh-waktu-pemohon-skck-membludak/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/07/pppk-250x190.webp,Tidak ada ringkasan
"P2G Kritik PPPK Paruh Waktu: Kebijakan Absurd, Guru Jadi Terbelah-Belah",https://fajar.co.id/2025/09/15/p2g-kritik-pppk-paruh-waktu-kebijakan-absurd-guru-jadi-terbelah-belah/,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://fajar.co.id/wp-content/uploads/2025/07/IMG-20250731-WA0021-250x190.jpg,Tidak ada ringkasan
